1	1.21399	0.540302	0
1.04	1.20963	0.50622	0.0253693
1.08	1.20426	0.471328	0.0489716
1.12	1.19787	0.435682	0.0707644
1.16	1.19049	0.39934	0.0907126
1.2	1.1821	0.362358	0.108789
1.24	1.17274	0.324796	0.124975
1.28	1.16239	0.286715	0.139259
1.32	1.15108	0.248175	0.151637
1.36	1.13882	0.209239	0.162116
1.4	1.12563	0.169967	0.170706
1.44	1.1115	0.130424	0.177429
1.48	1.09647	0.0906716	0.182314
1.52	1.08055	0.0507745	0.185396
1.56	1.06376	0.0107961	0.186719
1.6	1.04611	0.0291995	0.187232
1.64	1.02763	0.0691484	0.189266
1.68	1.00834	0.108987	0.192891
1.72	0.988265	0.148651	0.198034
1.76	0.96742	0.188077	0.204617
1.8	0.945833	0.227202	0.212562
1.84	0.923529	0.265964	0.221779
1.88	0.900534	0.3043	0.232182
1.92	0.876876	0.34215	0.24367
1.96	0.852581	0.379452	0.256149
2	0.827678	0.416147	0.269516
2.04	0.802197	0.452176	0.283669
2.08	0.776167	0.487482	0.2985
2.12	0.749618	0.522008	0.313905
2.16	0.722583	0.555699	0.329769
2.2	0.695092	0.588501	0.345992
2.24	0.667177	0.620362	0.362457
2.28	0.638873	0.65123	0.379065
2.32	0.610211	0.681056	0.395706
2.36	0.581225	0.709793	0.412279
2.4	0.55195	0.737394	0.428679
2.44	0.52242	0.763815	0.444806
2.48	0.492669	0.789015	0.46057
2.52	0.462732	0.812952	0.475874
2.56	0.432645	0.835589	0.490635
2.6	0.402442	0.856889	0.504768
2.64	0.372158	0.876818	0.518197
2.68	0.34183	0.895344	0.530858
2.72	0.311492	0.912438	0.542661
2.76	0.281179	0.928073	0.55357
2.8	0.250927	0.942222	0.563519
2.84	0.220771	0.954865	0.572469
2.88	0.190745	0.965979	0.580373
2.92	0.160885	0.975549	0.587199
2.96	0.131224	0.983557	0.592921
3	0.101797	0.989992	0.597518
3.04	0.0726363	0.994844	0.601004
3.08	0.0437763	0.998104	0.603308
3.12	0.0152494	0.999767	0.604485
3.16	-0.012912	0.999831	0.604524
3.2	-0.0406764	0.998295	0.603459
3.24	-0.0680127	0.995162	0.601284
3.28	-0.0948902	0.990437	0.598046
3.32	-0.121279	0.984128	0.593777
3.36	-0.147151	0.976244	0.588516
3.4	-0.172476	0.966798	0.582303
3.44	-0.197228	0.955806	0.57519
3.48	-0.221379	0.943285	0.567239
3.52	-0.244904	0.929254	0.55851
3.56	-0.267778	0.913737	0.549053
3.6	-0.289976	0.896758	0.538954
3.64	-0.311476	0.878345	0.528275
3.68	-0.332256	0.858526	0.517092
3.72	-0.352293	0.837334	0.505482
3.76	-0.371568	0.814803	0.49352
3.8	-0.390062	0.790968	0.481289
3.84	-0.407757	0.765867	0.468864
3.88	-0.424637	0.739542	0.456331
3.92	-0.440684	0.712033	0.443768
3.96	-0.455886	0.683385	0.431257
4	-0.470228	0.653644	0.418871
4.04	-0.483698	0.622857	0.406691
4.08	-0.496285	0.591073	0.394793
4.12	-0.50798	0.558345	0.383248
4.16	-0.518773	0.524722	0.372125
4.2	-0.528658	0.490261	0.361493
4.24	-0.537627	0.455015	0.351412
4.28	-0.545678	0.419041	0.34194
4.32	-0.552805	0.382397	0.333136
4.36	-0.559006	0.345141	0.325045
4.4	-0.564281	0.307333	0.317717
4.44	-0.568628	0.269033	0.311184
4.48	-0.572051	0.230303	0.305497
4.52	-0.574551	0.191204	0.300654
4.56	-0.576132	0.1518	0.296705
4.6	-0.5768	0.112153	0.293662
4.64	-0.576559	0.0723258	0.291533
4.68	-0.575419	0.0323833	0.290327
4.72	-0.573388	0.00761095	0.290007
4.76	-0.570475	0.047593	0.289377
4.8	-0.566692	0.087499	0.287842
4.84	-0.562051	0.127265	0.285416
4.88	-0.556565	0.166827	0.282126
4.92	-0.550248	0.206123	0.277971
4.96	-0.543116	0.245089	0.273065
5	-0.535186	0.283662	0.267363
